Fact,Category
The Grammy Award for Best New Artist has been awarded since 1959. Years reflect the year in which the Grammy Awards were handed out for records released in the previous year. The award was not presented in 1967.,AWARD
A Grammy Award (stylized as GRAMMY originally called Gramophone Award) or Grammy is an award presented by The Recording Academy to recognize achievements in the music industry. The trophy depicts a gilded gramophone. The annual presentation ceremony features performances by prominent artists and the presentation of those awards that have a more popular interest.,AWARD
Indie rock is a genre of rock music that originated in the United States and United Kingdom in the 1970s. Originally used to describe independent record labels the term became associated with the music they produced and was initially used interchangeably with alternative rock. As grunge and punk revival bands in the US and Britpop bands in the UK broke into the mainstream in the 1990s it came to be used to identify those acts that retained an outsider and underground perspective.,GENRE
Nu metal (sometimes stylized as nü-metal) is a subgenre of alternative metal that combines elements of heavy metal music with elements of other music genres such as hip hop alternative rock funk industrial and grunge. Nu metal bands have drawn elements and influences from a variety of musical styles including multiple genres of heavy metal. Nu metal rarely features guitar solos; the genre is heavily syncopated and based on guitar riffs.,GENRE
Contemporary Christian music (or CCM—and occasionally "inspirational music") is a genre of modern popular music which is lyrically focused on matters concerned with the Christian faith. It formed as those affected by the 1960s Jesus movement revival began to express themselves in a more contemporary style of music than the hymns Gospel and Southern gospel music that was prevalent in the church at the time. Today the term is typically used to refer to pop rock or praise & worship styles.,GENRE
March 13 is the 72nd day of the year (73rd in leap years) in the Gregorian calendar.  293 days remain until the end of the year.,DATE
July 23 is the 204th day of the year (205th in leap years) in the Gregorian calendar.  161 days remain until the end of the year.,DATE
February 2 is the 33rd day of the year in the Gregorian calendar.  332 days remain until the end of the year (333 in leap years).,DATE
The Thirtieth of September Movement (Indonesian: Gerakan 30 September abbreviated as G30S also known by the acronym Gestapu for Gerakan September Tiga Puluh Thirtieth of September Movement) was a self-proclaimed organization of Indonesian National Armed Forces members who in the early hours of 1 October 1965 assassinated six Indonesian Army generals in an abortive coup d'état resulting in the unofficial but more accurate name of Gestok for Gerakan Satu Oktober or First of October Movement. Later that morning the organisation declared that it was in control of media and communication outlets and had taken President Sukarno under its protection. By the end of the day the coup attempt had failed in Jakarta at least.,DATE
June 23 is the 174th day of the year (175th in leap years) in the Gregorian calendar.  191 days remain until the end of the year.,DATE
April 6 is the 96th day of the year (97th in leap years) in the Gregorian calendar.  269 days remain until the end of the year.,DATE
March 21 is the 80th day of the year (81st in leap years) in the Gregorian calendar.  285 days remain until the end of the year.,DATE
June 30 is the 181st day of the year (182nd in leap years) in the Gregorian calendar.  184 days remain until the end of the year.,DATE
September 17 is the 260th day of the year (261st in leap years) in the Gregorian calendar.  105 days remain until the end of the year.,DATE
February 1 is the 32nd day of the year in the Gregorian calendar.  333 days remain until the end of the year (334 in leap years).,DATE
September 7 is the 250th day of the year (251st in leap years) in the Gregorian calendar.  115 days remain until the end of the year.,DATE
April 25 is the 115th day of the year (116th in leap years) in the Gregorian calendar.  250 days remain until the end of the year.,DATE
July 8 is the 189th day of the year (190th in leap years) in the Gregorian calendar.  176 days remain until the end of the year.,DATE
September 14 is the 257th day of the year (258th in leap years) in the Gregorian calendar.  108 days remain until the end of the year.,DATE
February 25 is the 56th day of the year in the Gregorian calendar.  309 days remain until the end of the year (310 in leap years).,DATE
July 13 is the 194th day of the year (195th in leap years) in the Gregorian calendar.  171 days remain until the end of the year.,DATE
September 26 is the 269th day of the year (270th in leap years) in the Gregorian calendar.  96 days remain until the end of the year.,DATE
April 6 is the 96th day of the year (97th in leap years) in the Gregorian calendar.  269 days remain until the end of the year.,DATE
February 1 is the 32nd day of the year in the Gregorian calendar.  333 days remain until the end of the year (334 in leap years).,DATE
On 20 July 1944 Claus von Stauffenberg and other conspirators attempted to assassinate Adolf Hitler Führer of Nazi Germany inside his Wolf's Lair field headquarters near Rastenburg East Prussia. The name Operation Valkyrie—originally referring to part of the conspiracy—has become associated with the entire event.,DATE
July 27 is the 208th day of the year (209th in leap years) in the Gregorian calendar.  157 days remain until the end of the year.,DATE
April 4 is the 94th day of the year (95th in leap years) in the Gregorian calendar.  271 days remain until the end of the year.,DATE
July 3 is the 184th day of the year (185th in leap years) in the Gregorian calendar.  181 days remain until the end of the year.,DATE
July 1 is the 182nd day of the year (183rd in leap years) in the Gregorian calendar.  183 days remain until the end of the year.,DATE
August 31 is the 243rd day of the year (244th in leap years) in the Gregorian calendar.  122 days remain until the end of the year.,DATE
March 24 is the 83rd day of the year (84th in leap years) in the Gregorian calendar.  282 days remain until the end of the year.,DATE
August 14 is the 226th day of the year (227th in leap years) in the Gregorian calendar.  139 days remain until the end of the year.,DATE
June 8 is the 159th day of the year (160th in leap years) in the Gregorian calendar.  206 days remain until the end of the year.,DATE
A millennium (plural millennia or millenniums) is a period of one thousand years sometimes called a kiloyear. Sometimes the word is used specifically for periods of a thousand years that begin at the starting point (initial reference point) of the calendar in consideration (typically the year "1") and at later years that are whole number multiples of a thousand years after the start point. The term can also refer to an interval of time beginning on any date.,DATE
March 7 is the 66th day of the year (67th in leap years) in the Gregorian calendar.  299 days remain until the end of the year.,DATE
September 11 is the 254th day of the year (255th in leap years) in the Gregorian calendar.  111 days remain until the end of the year.,DATE
March 11 is the 70th day of the year (71st in leap years) in the Gregorian calendar.  295 days remain until the end of the year.,DATE
July 21 is the 202nd day of the year (203rd in leap years) in the Gregorian calendar.  163 days remain until the end of the year.,DATE
March 6 is the 65th day of the year (66th in leap years) in the Gregorian calendar.  300 days remain until the end of the year.,DATE
The September 11 attacks (also referred to as 9/11) were a series of four coordinated terrorist attacks by the Islamic terrorist group al-Qaeda against the United States on the morning of Tuesday September 11 2001. The attacks resulted in 2977 victim fatalities over 25000 injuries and caused at least $10 billion in infrastructure and property damage. Additional people have died of 9/11-related cancer and respiratory diseases in the months and years following the attacks.,DATE
August 24 is the 236th day of the year (237th in leap years) in the Gregorian calendar.  129 days remain until the end of the year.,DATE
February 1 is the 32nd day of the year in the Gregorian calendar.  333 days remain until the end of the year (334 in leap years).,DATE
February 3 is the 34th day of the year in the Gregorian calendar.  331 days remain until the end of the year (332 in leap years).,DATE
August 16 is the 228th day of the year (229th in leap years) in the Gregorian calendar.  137 days remain until the end of the year.,DATE
April 12 is the 102nd day of the year (103rd in leap years) in the Gregorian calendar.  263 days remain until the end of the year.,DATE
February 5 is the 36th day of the year in the Gregorian calendar.  329 days remain until the end of the year (330 in leap years).,DATE
February 24 is the 55th day of the year in the Gregorian calendar.  310 days remain until the end of the year (311 in leap years).,DATE
February 2 is the 33rd day of the year in the Gregorian calendar.  332 days remain until the end of the year (333 in leap years).,DATE
November 23 is the 327th day of the year (328th in leap years) in the Gregorian calendar.  38 days remain until the end of the year.,DATE
September 9 is the 252nd day of the year (253rd in leap years) in the Gregorian calendar.  113 days remain until the end of the year.,DATE
August 8 is the 220th day of the year (221st in leap years) in the Gregorian calendar.  145 days remain until the end of the year.,DATE
August 20 is the 232nd day of the year (233rd in leap years) in the Gregorian calendar.  133 days remain until the end of the year.,DATE
August 11 is the 223rd day of the year (224th in leap years) in the Gregorian calendar.  142 days remain until the end of the year.,DATE
April 1 is the 91st day of the year (92nd in leap years) in the Gregorian calendar.  274 days remain until the end of the year.,DATE
September 23 is the 266th day of the year (267th in leap years) in the Gregorian calendar.  99 days remain until the end of the year. It is frequently the day of the autumnal equinox in the Northern Hemisphere and the day of the vernal equinox in the Southern Hemisphere.,DATE
June 20 is the 171st day of the year (172nd in leap years) in the Gregorian calendar.  194 days remain until the end of the year.,DATE
August 22 is the 234th day of the year (235th in leap years) in the Gregorian calendar.  131 days remain until the end of the year.,DATE
February 12 is the 43rd day of the year in the Gregorian calendar.  322 days remain until the end of the year (323 in leap years).,DATE
August 27 is the 239th day of the year (240th in leap years) in the Gregorian calendar.  126 days remain until the end of the year.,DATE
The 26th of July Movement (Spanish: Movimiento 26 de Julio; M-26-7) was a Cuban vanguard revolutionary organization and later a political party led by Fidel Castro. The movement's name commemorates its 26th July 1953 attack on the army barracks on Santiago de Cuba in an attempt to start the overthrowing of the dictator Fulgencio Batista. Fidel Castro's nationalist ideology was founded in the ideas of José Martí.,DATE
February 5 is the 36th day of the year in the Gregorian calendar.  329 days remain until the end of the year (330 in leap years).,DATE
September 13 is the 256th day of the year (257th in leap years) in the Gregorian calendar.  109 days remain until the end of the year.,DATE
July 12 is the 193rd day of the year (194th in leap years) in the Gregorian calendar.  172 days remain until the end of the year.,DATE
Broadcast Music Inc. (BMI) is one of the four major United States performing rights organizations along with ASCAP SESAC and GMR. It collects license fees from businesses that use music on behalf of songwriters composers and music publishers and distributes them as royalties to those members whose works have been performed.  In FY 2019 BMI collected $1.28 billion in revenues and distributed $1.196 billion in royalties.,LABEL
Warner Music Group Inc. (WMG) also known as Warner Music is an American multinational entertainment and record label conglomerate headquartered in Los Angeles. It is one of the "big three" recording companies and the third largest in the global music industry after Universal Music Group (UMG) and Sony Music Entertainment (SME).,LABEL
Liberation Music is an Australian record company and label started in 1999 by Michael Gudinski and Warren Costello based in Melbourne. Its stated aim is to find nurture and then to develop new talent for a world market while remaining independent in the process.,LABEL
Mushroom Records was an Australian flagship record label founded in 1972 in Melbourne. It published and distributed many successful Australian artists and expanded internationally until it was merged with Festival Records in 1998. Festival Mushroom Records was later acquired by Warner Bros.,LABEL
EMI Group Limited (originally an initialism for Electric and Musical Industries also referred to as EMI Records Ltd. or simply EMI) was a British transnational conglomerate founded in March 1931 in London. At the time of its break-up in 2012 it was the fourth largest business group and record label conglomerate in the music industry and was one of the "Big Four" record companies (now the "Big Three").,LABEL
Infest is the second studio album and major-label debut by the American rock band Papa Roach. It was released on April 25 2000 through DreamWorks Records and became the 20th highest-selling album of 2000 in the United States. The sound of the album is nu metal and rap metal.,ALBUM
The Burning Red is the third studio album by the American groove metal band Machine Head. It is the band's second best selling album in the US selling as many copies in three years as Burn My Eyes sold in almost eight years (1994–2002). The album has sold over 134000 copies in the US and it was certified silver in 2011 by the BPI for sales of 60000 in the UK.,ALBUM
See full list in Category:Pearl Jam Official Bootlegs.The Pearl Jam "Official" Bootlegs are a large continually growing series of live albums by the American alternative rock band Pearl Jam. Pearl Jam noted the desire of fans to own a copy of the shows they attended and the popularity of bootleg recordings. The band had been open in the past about allowing fans to make amateur recordings and these "official bootlegs" were an attempt to provide a more affordable and better quality product for fans.,ALBUM
Holy Wood (In the Shadow of the Valley of Death) is the fourth studio album by American rock band Marilyn Manson. It was released on November 11 2000 by Nothing and Interscope Records.  A rock opera concept album it is the final installment of a triptych that also included Antichrist Superstar (1996) and marked a return to the industrial metal style of the band's earlier work after the glam rock-influenced production of Mechanical Animals (1998).,ALBUM
L.D. 50 is the debut studio album by American heavy metal band Mudvayne. Released in 2000 it is the band's first release on Epic Records following the independently released extended play Kill I Oughtta. L.D. 50 was co-produced by Garth Richardson & Mudvayne and executive produced by Steve Richards & Slipknot member Shawn "Clown" Crahan.,ALBUM
Monster Ballads is the first in a series of compilation albums that feature popular power ballads usually from the glam metal and soft rock genre many of which charted in the Top 10 of the Billboard Hot 100. Like Monsters of Rock it was released in both single and 2 disc versions which were heavily promoted by TV commercials. The single disc version (containing 16 songs) was eventually certified platinum by the RIAA in 1999 while the 2 disc version (containing 35 songs) was certified gold that same year.,ALBUM
Felons and Revolutionaries is the debut studio album by the American band Dope. The album was released in 1999 on Epic Records and has sold over 236000 copies in the United States making it their best-selling album to date. It was re-released on June 17 2000 with the single "You Spin Me Round (Like a Record)" (Dead or Alive cover) as a bonus track.,ALBUM
Tonight the Stars Revolt! is the second major label studio album by American rock band Powerman 5000. It was released on July 20 1999 by DreamWorks Records.,ALBUM
This Is Your Time is Michael W. Smith's fourteenth studio album released on November 23 1999. All the songs from this album except "This Is Your Time" and "This Is Your Time (Reprise)" were originally recorded for his previous studio album Live the Life but did not make the final cut for the album.,ALBUM
Oops!... I Did It Again is the second studio album by American singer Britney Spears. It was released on May 16 2000 in the United States through Jive Records.,ALBUM
The Billboard Hot 100 is the music industry standard record chart in the United States for songs published weekly by Billboard magazine. Chart rankings are based on sales (physical and digital) radio play and online streaming in the United States.,CHART
The Billboard Hot 100 is the music industry standard record chart in the United States for songs published weekly by Billboard magazine. Chart rankings are based on sales (physical and digital) radio play and online streaming in the United States.,CHART
Megadeth is an American heavy metal band from Los Angeles California. Guitarist Dave Mustaine and bassist David Ellefson formed the band in 1983 shortly after Mustaine's dismissal from Metallica. Along with Metallica Anthrax and Slayer Megadeth is one of the "big four" of American thrash metal responsible for its development and popularization.,BAND
Darkane is a Swedish extreme metal band that originated in Helsingborg in 1998. Their music contains ample thrash elements interspersed with acoustic interludes and symphonic features such as the in studio use of synthesizers and occasionally full orchestras and choir singing. The name Darkane is a portmanteau of the words "dark" and "arcane".,BAND
Matchbox Twenty (previously Matchbox 20 and frequently shortened to MB20) is an American rock band formed in Orlando Florida in 1995. The group currently consists of Rob Thomas (lead vocals guitar keyboards) Brian Yale (bass guitar) Paul Doucette (drums rhythm guitar backing vocals) and Kyle Cook (lead guitar vocals).,BAND
Skinny Puppy is a Canadian industrial music group formed in Vancouver British Columbia in 1982. The group is widely considered to be one of the founders of the industrial rock and electro-industrial genres. Initially envisioned as an experimental side project by cEvin Key (Kevin Crompton) while he was in the new wave band Images in Vogue Skinny Puppy evolved into a full-time project with the addition of vocalist Nivek Ogre (Kevin Ogilvie).,BAND
NSYNC ( ; also stylized as *NSYNC or 'N Sync) was an American boy band formed in Orlando Florida in 1995 and launched in Germany by BMG Ariola Munich. NSYNC consisted of Justin Timberlake JC Chasez Chris Kirkpatrick Joey Fatone and Lance Bass. Their self-titled debut album was successfully released to European countries in 1997 and later debuted in the US market with the single "I Want You Back".,BAND
The Smashing Pumpkins (or Smashing Pumpkins) are an American alternative rock band from Chicago Illinois. Formed in 1988 by frontman Billy Corgan (lead vocals guitar) D'arcy Wretzky (bass) James Iha (guitar) and Jimmy Chamberlin (drums) the band has undergone many line-up changes. The current lineup features Corgan Chamberlin Iha and guitarist Jeff Schroeder.,BAND
Mudvayne was an American heavy metal band from Peoria Illinois formed in 1996. They are known for their sonic experimentation innovative album art face and body paint masks and uniforms. The band has sold over six million records worldwide including nearly three million in the United States.,BAND
Machine Head is an American heavy metal band from Oakland California. The band was formed in 1991 by vocalist/guitarist Robb Flynn and bassist Adam Duce. The band's aggressive musicianship made it one of the pioneering bands in the new wave of American heavy metal and it is also considered to be part of the second wave of thrash metal bands from the 1990s.,BAND
Garbage is an American rock band formed in Madison Wisconsin in 1993. The band consists of Scottish singer and musician Shirley Manson and American musicians Duke Erikson Steve Marker and Butch Vig. All four members are involved in songwriting and production.,BAND
The Sugababes are a British girl group composed of Keisha Buchanan Mutya Buena and Siobhán Donaghy. Formed in 1998 they released their debut album One Touch through London Records in November 2000 which achieved moderate success and spawned the hit single Overload. In 2001 Donaghy departed the group and was replaced by Heidi Range.,BAND
Five Iron Frenzy is an American band formed in Denver Colorado in 1995. Best known for playing ska punk music characterized by an offbeat sense of humor and prominent Christian themes Five Iron was one of the pioneering figures of the Christian ska movement which emerged with ska's mainstream revival in the 1990s. Since 2000 the band's music has shifted away from ska to embrace stronger alternative rock and pop punk influences though continues to feature Christian overtones despite several members' changes in religious beliefs.Five Iron experienced their greatest commercial success during the late 1990s as part of the American ska revival touring prolifically within both Christian and secular markets where the band gained a cult following for their energetic live shows typified by humorous stage antics which often drew attention to various social causes and charities.,BAND
NSYNC ( ; also stylized as *NSYNC or 'N Sync) was an American boy band formed in Orlando Florida in 1995 and launched in Germany by BMG Ariola Munich. NSYNC consisted of Justin Timberlake JC Chasez Chris Kirkpatrick Joey Fatone and Lance Bass. Their self-titled debut album was successfully released to European countries in 1997 and later debuted in the US market with the single "I Want You Back".,BAND
The Haunted is a Swedish extreme metal band from Gothenburg formed in 1996.,BAND
Ministry of Sound Group is a multimedia entertainment business based in London with a nightclub shared workspace and private members club worldwide events operation music publishing business and fitness studio.,BAND
Morphine was an American alternative rock group formed by Mark Sandman Dana Colley and Jerome Deupree in Cambridge Massachusetts in 1989.  After five successful albums and extensive touring they disbanded after lead vocalist Sandman died of a heart attack onstage in Palestrina Italy on July 3 1999. Founding members have reformed into the band Vapors of Morphine maintaining much of the original style and sound.,BAND
The Smashing Pumpkins (or Smashing Pumpkins) are an American alternative rock band from Chicago Illinois. Formed in 1988 by frontman Billy Corgan (lead vocals guitar) D'arcy Wretzky (bass) James Iha (guitar) and Jimmy Chamberlin (drums) the band has undergone many line-up changes. The current lineup features Corgan Chamberlin Iha and guitarist Jeff Schroeder.,BAND
Limp Bizkit is an American rap rock band from Jacksonville Florida. Their lineup consists of Fred Durst (lead vocals) Sam Rivers (bass backing vocals) John Otto (drums percussion) DJ Lethal (turntables) and Wes Borland (guitars vocals). Their music is marked by Durst's angry vocal delivery and Borland's sonic experimentation.,BAND
Tool is an American rock band from Los Angeles. Formed in 1990 the group's line-up includes drummer Danny Carey guitarist Adam Jones and vocalist Maynard James Keenan. Justin Chancellor has been the band's bassist since 1995 replacing their original bassist Paul D'Amour.,BAND
Olsen Brothers (Danish: Brødrene Olsen) are a Danish rock/pop music duo formed by brothers Jørgen (born 15 March 1950) and Niels "Noller" Olsen (born 13 April 1954) who won the Eurovision Song Contest in 2000. They formed their first band The Kids in 1965. The Kids warmed up for The Kinks in the K.B. Hallen in 1965 and released their first single in 1967.,BAND
311 (pronounced "three-eleven") is an American rock band from Omaha Nebraska. The band was formed in 1988 by vocalist and guitarist Nick Hexum lead guitarist Jim Watson (a member briefly before being replaced by Tim Mahoney in 1990) bassist Aaron "P-Nut" Wills and drummer Chad Sexton. In 1992 Doug "SA" Martinez joined to sing and provide turntables for 311's later albums.,BAND
Ministry of Sound Australia is the Australian subsidiary label of Ministry of Sound Recordings Ltd currently operating out of the offices of Sony Music Entertainment Australia.,BAND
Oasis were an English rock band formed in Manchester in 1991. Developed from an earlier group the Rain the band originally consisted of Liam Gallagher (lead vocals tambourine) Paul Arthurs (guitar) Paul McGuigan (bass guitar) and Tony McCarroll (drums). Upon returning to Manchester Liam's older brother Noel Gallagher (lead guitar vocals) joined as a fifth member which formed the band's core and settled line-up.,BAND
Rammstein (German pronunciation: [ˈʁamʃtaɪn]) is a German Neue Deutsche Härte band formed in Berlin in 1994. Their lineup has remained unchanged throughout their history composed of lead vocalist Till Lindemann lead guitarist Richard Z. Kruspe rhythm guitarist Paul Landers bassist Oliver Riedel drummer Christoph Schneider and keyboardist Christian "Flake" Lorenz. Prior to their formation some members were associated with East German punk rock acts Feeling B and First Arsch.,BAND
The Allman Brothers Band was an American rock band formed in Jacksonville Florida in 1969 by brothers Duane Allman (founder slide guitar and lead guitar) and Gregg Allman (vocals keyboards songwriting) as well as Dickey Betts (lead guitar vocals songwriting) Berry Oakley (bass guitar) Butch Trucks (drums) and Jai Johanny "Jaimoe" Johanson (drums). The band incorporated elements of blues jazz and country music and their live shows featured jam band-style improvisation and instrumentals.,BAND
The Spice Girls are an English pop girl group formed in 1994. The group comprises Melanie Brown also known as Mel B ("Scary Spice") Melanie Chisholm also known as Mel C ("Sporty Spice") Emma Bunton ("Baby Spice") Geri Halliwell ("Ginger Spice") and Victoria Beckham ("Posh Spice"). They were signed to Virgin Records and released their debut single "Wannabe" in 1996; it hit number one in 37 countries and commenced their global success.,BAND
Santana is an American rock band formed in San Francisco in 1966 by Mexican-American guitarist and songwriter Carlos Santana. The band has undergone multiple recording and performing line-ups in its history with Santana the only consistent member. Santana had early success with their appearance at Woodstock in 1969 and their first three albums Santana (1969) Abraxas (1970) and Santana III (1971).,BAND
Atari Teenage Riot (abbreviated ATR) is a German band formed in Berlin in 1992. The name is taken from a Portuguese Joe song entitled "Teenage Riot" from the album Teen-age Riot with the word 'Atari' added as an Atari ST computer was used to create compositions. Highly political they fuse left-wing anarchist anti-fascist views with punk vocals and a techno sound called digital hardcore which is a term band member Alec Empire used as the name of his record label.,BAND
U2 are  an Irish rock band from Dublin formed in 1976. The group consists of Bono (lead vocals and rhythm guitar) the Edge (lead guitar keyboards and backing vocals) Adam Clayton (bass guitar) and Larry Mullen Jr. (drums and percussion).,BAND
KMFDM (originally Kein Mehrheit Für Die Mitleid loosely translated by the band as "no pity for the majority") is a German industrial band from Hamburg led by multi-instrumentalist Sascha Konietzko who founded the group in 1984 as a performance art project.,BAND
Disturbed is an American heavy metal band from Chicago formed in 1994. The band includes vocalist David Draiman guitarist/keyboardist Dan Donegan bassist John Moyer and drummer Mike Wengren. Draiman Donegan and Wengren have been involved in the band since its inception with Moyer replacing former bassist Steve Kmak first as session performer in 2003 and then officially in 2005.,BAND
Static-X is an American industrial metal band from Los Angeles California formed in 1994. The line-up has fluctuated over the years but was long-held constant with band founder frontman vocalist and guitarist Wayne Static until 2014.,BAND
Blink-182 (often stylized in all lowercase as blink-182) is an American rock band formed in Poway California in 1992. Since 2015 the lineup of the band has consisted of bass guitarist and vocalist Mark Hoppus drummer Travis Barker and guitarist and vocalist Matt Skiba. Founded by Hoppus guitarist and vocalist Tom DeLonge and drummer Scott Raynor the band emerged from the Southern California punk scene of the early 1990s and first gained notoriety for high-energy live shows and irreverent lyrical toilet humor.,BAND
Dope is an American rock band from New York City New York formed in 1997.,BAND
New Radicals (stylized as Иew Radicals) was an American alternative rock band active from 1997 to 1999. The band centered on frontman Gregg Alexander who wrote and produced all of their songs. The band's only other permanent member was keyboardist and percussionist  Danielle Brisebois.,BAND
